ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
34,"['Q35r1', 'Q35r2', 'Q35r3', 'Q35r4', 'Q35r5', 'Q35r6', 'Q35r7', 'Q35r8', 'Q35r9', 'Q35r10', 'Q35r11', 'Q35r12', 'Q35r13', 'Q35r97']",,MultiSelect,,,,,,,
35,Q35r97,"['Q35r1', 'Q35r2', 'Q35r3', 'Q35r4', 'Q35r5', 'Q35r6', 'Q35r7', 'Q35r8', 'Q35r9', 'Q35r10', 'Q35r11', 'Q35r12', 'Q35r13', 'Q35r97']",None of the above,,None of the above - classic,Yes,,,,
37,Q40,Q39,Block/Force,Single to Single,Block Q40 if Q39 is NOT “Coins only” or “A combination of coins and bills”,Yes,,,,
38,Q41,Q39,Block/Force,Single to Single,Block Q41 if Q39 is NOT  “Bills only” or “A combination of coins and bills”,Yes,,,,
39,Q47,Q46,Block/Force,Single to Single,Block Q47 if Q46 is NOT “You are setting money aside to save for future…” or “You are stuck with change from a transaction a…”,Yes,,,,
51,"['Q48r1', 'Q48r2', 'Q48r3', 'Q48r4', 'Q48r5', 'Q48r6', 'Q48r7', 'Q48r8', 'Q48r9', 'Q48r10', 'Q48r96', 'Q48r97', 'Q48r98']",,MultiSelect,,,,,,,
40,"['Q48r1', 'Q48r2', 'Q48r3', 'Q48r4', 'Q48r5', 'Q48r6', 'Q48r7', 'Q48r8', 'Q48r9', 'Q48r10', 'Q48r96', 'Q48r97', 'Q48r98']",Q47,Block/Force,Single to Multi,"Block Q48 group if Q47 is NOT “A combination of saving approaches, some set a…” or “Long-term saving - set aside with no intention…”  ",Yes,,,,
41,Q48r97,"['Q48r1', 'Q48r2', 'Q48r3', 'Q48r4', 'Q48r5', 'Q48r6', 'Q48r7', 'Q48r8', 'Q48r9', 'Q48r10', 'Q48r96', 'Q48r97', 'Q48r98']",None of the above,,Double exclusive,No,,,,
42,Q48r98,"['Q48r1', 'Q48r2', 'Q48r3', 'Q48r4', 'Q48r5', 'Q48r6', 'Q48r7', 'Q48r8', 'Q48r9', 'Q48r10', 'Q48r96', 'Q48r97', 'Q48r98']",None of the above,,Double exclusive,No,,,,
43,Q49,Q48r97,Block/Force,Single to Single,Block Q49 if Q48r97 selected,Yes,,Issue,1,1 row force issue
44,"['Q50r1', 'Q50r2', 'Q50r3', 'Q50r4', 'Q50r5', 'Q50r6', 'Q50r7', 'Q50r8', 'Q50r9', 'Q50r10', 'Q50r96', 'Q50r97', 'Q50r98']",,MultiSelect,,,,,,,
