ID,Target,Source,Constraint,B/F Relationship,Comment,Is Implemented,Custom Query,Status,Rows Impacted,Analysis comment
90,"['c2cr5_1', 'c2cr5_2',
  'c2cr5_3', 'c2cr5_4', 'c2cr5_5', 'c2cr5_6', 'c2cr5_7']","['c2b_51',
     'c2b_52',
     'c2b_53',
     'c2b_54',
     'c2b_55',
     'c2b_56',
     'c2b_57']",Parallel Piping,Multi to Multi,ask c2cr5_x if c2b_1x is selected,,,,,
71,"['c2b_61',
     'c2b_62',
     'c2b_63',
     'c2b_64',
     'c2b_65',
     'c2b_66',
     'c2b_67',
     'c2b_68']",,MultiSelect,,,,,,,
40,c2b_68,"['c2b_61',
     'c2b_62',
     'c2b_63',
     'c2b_64',
     'c2b_65',
     'c2b_66',
     'c2b_67',
     'c2b_68']",None of the above,,Not asked,,,,,
46,"['c2b_61',
     'c2b_62',
     'c2b_63',
     'c2b_64',
     'c2b_65',
     'c2b_66',
     'c2b_67']",c2a06,Block/Force,Single to Multi,ask c2b2 if c2a2 = 1,,,,,
26,"['c2cr6_1', 'c2cr6_2',
  'c2cr6_3', 'c2cr6_4', 'c2cr6_5', 'c2cr6_6', 'c2cr6_7']",,MultiSelect,,,,,,,
43,"['c2cr6_1', 'c2cr6_2',
  'c2cr6_3', 'c2cr6_4', 'c2cr6_5', 'c2cr6_6', 'c2cr6_7']",c2a06,Block/Force,Single to Multi,ask c2cr6 if c2a2 = 1,,,,,
59,"['c2cr6_1', 'c2cr6_2',
  'c2cr6_3', 'c2cr6_4', 'c2cr6_5', 'c2cr6_6', 'c2cr6_7']","['c2b_61',
     'c2b_62',
     'c2b_63',
     'c2b_64',
     'c2b_65',
     'c2b_66',
     'c2b_67']",Parallel Piping,Multi to Multi,ask c2cr6_x if c2b_1x is selected,,,,,
11,"['c2b_71',
     'c2b_72',
     'c2b_73',
     'c2b_74',
     'c2b_75',
     'c2b_76',
     'c2b_77',
     'c2b_78']",,MultiSelect,,,,,,,
53,c2b_78,"['c2b_71',
     'c2b_72',
     'c2b_73',
     'c2b_74',
     'c2b_75',
     'c2b_76',
     'c2b_77',
     'c2b_78']",None of the above,,Not asked,,,,,
58,"['c2b_71',
     'c2b_72',
     'c2b_73',
     'c2b_74',
     'c2b_75',
     'c2b_76',
     'c2b_77']",c2a07,Block/Force,Single to Multi,ask c2b2 if c2a2 = 1,,,,,
81,"['c2cr7_1', 'c2cr7_2',
  'c2cr7_3', 'c2cr7_4', 'c2cr7_5', 'c2cr7_6', 'c2cr7_7']",,MultiSelect,,,,,,,
